system:index,AWEINS,AWEIS,B11,B12,B2,B3,B4,B5,B6,B7,B8,EVI,NDBI,NDSI,NDVI,NDWI,landcover,.geo
1_2_41_0,-8494.0,-983.5,2631,2360,2227,2316,2729,2702,2798,2962,2976,0.23315084009816878,-0.14395541,-0.06367496,0.043295354,-0.12471655,5,
1_2_42_0,-7997.25,-1283.75,2348,2011,1826,1890,2211,2297,2472,2526,2540,0.38944128787878785,-0.16353641,-0.108069845,0.06924858,-0.14672686,5,
1_2_43_0,9038.5,5746.75,1082,957,4177,4305,4779,4936,4983,4829,4887,0.1208324009845603,-0.078331865,0.5982922,0.011173184,-0.06331593,5,
1_2_44_0,-8878.5,-1052.25,3234,2887,2802,3268,3820,3991,4071,4274,4301,0.1937328822297406,-0.21103759,0.00522916,0.059229158,-0.13647774,5,
1_2_45_0,-27496.5,-7620.0,5602,4956,1906,2378,3186,3430,3659,3858,3886,0.20096463022508038,-0.34185082,-0.40401003,0.0989819,-0.24074075,5,
1_2_46_0,-26763.0,-7307.25,5508,4831,1921,2376,3156,3432,3650,3763,3799,0.19301194692921894,-0.32832167,-0.39726028,0.092451476,-0.23044534,5,
1_2_47_0,-5227.75,797.5,2634,2310,3065,3149,3587,3691,3765,3754,3741,0.16911926202503844,-0.09932412,0.08905412,0.021015285,-0.08592162,5,
1_2_48_0,-24562.5,-6885.25,5265,4427,1968,2413,3182,3474,3748,3871,3921,0.22383086988126968,-0.33163527,-0.3714509,0.10404055,-0.2380802,5,
1_2_49_0,-19263.5,-4899.75,4180,3515,1674,1961,2445,2634,2780,2863,2885,0.21995600879824034,-0.26562843,-0.3613418,0.08255159,-0.19067273,5,
1_2_50_0,-23896.0,-6405.25,5189,4543,2187,2595,3271,3509,3825,4044,4107,0.28507126781695424,-0.30505243,-0.3332477,0.11330984,-0.2256043,5,
1_2_51_0,-23996.5,-6513.75,5489,4297,2036,2693,3391,3563,3756,3974,3983,0.16335540838852097,-0.32347566,-0.34172574,0.08028207,-0.19322948,5,
1_2_52_0,-20173.0,-5147.0,4311,3826,1699,2092,2691,2844,3035,3100,3102,0.15791900407285023,-0.29223078,-0.3465563,0.07094769,-0.19445515,5,
1_2_53_0,-27785.75,-7816.25,5819,5001,2067,2575,3473,3866,4054,4203,4228,0.1973443462805165,-0.34328833,-0.38646653,0.09803922,-0.24298103,5,
1_2_54_0,-22544.75,-5700.5,4773,4202,1881,2232,2781,2994,3184,3343,3301,0.2210696369356347,-0.27402547,-0.3627409,0.08549819,-0.1932044,5,
1_2_55_0,-11727.75,-2488.5,3140,2740,1938,2290,2733,2996,3062,3255,3171,0.21747765640516387,-0.24133882,-0.15653776,0.07418699,-0.16132577,5,
1_2_56_0,-5698.75,118.25,2524,2219,2608,2844,3174,3434,3533,3605,3506,0.2774991641591441,-0.14687602,0.05961252,0.0497006,-0.104251966,5,
1_2_57_0,-20447.5,-5357.0,4436,3888,1853,2210,2870,3164,3317,3410,3406,0.199123263243926,-0.2953033,-0.33493832,0.08540472,-0.21296297,5,
1_2_58_0,-7995.75,-594.5,2956,2578,2725,2965,3473,3649,3707,3679,3769,0.17743675818247212,-0.16076379,0.0015200136,0.040872686,-0.119394116,5,
1_2_59_0,7478.75,5728.5,1538,1372,4619,4682,5167,5689,5444,5605,5297,0.19607843137254902,-0.06837434,0.5054662,0.012423547,-0.061629422,5,
1_2_60_0,-21841.75,-5698.0,4605,3926,1781,2039,2470,2628,2816,2994,3125,0.35687043696197013,-0.27395028,-0.38621312,0.11706881,-0.21030208,5,
1_2_61_0,-26860.25,-7451.0,5554,4794,1927,2376,3083,3378,3550,3714,3859,0.24539877300613497,-0.33390942,-0.40075663,0.11178335,-0.23785084,5,
1_2_62_0,2435.75,3440.5,1728,1616,3623,3718,4122,4232,4537,4355,4321,0.264416688812118,-0.087865055,0.3654058,0.02356982,-0.07500933,5,
1_2_63_0,6433.0,4912.5,1330,1194,3976,4046,4432,4442,4625,4482,4590,0.28980190755685986,-0.07167873,0.5052083,0.017512746,-0.062992126,5,
1_2_64_0,-19431.75,-4412.25,4294,4079,2062,2455,2942,3102,3274,3412,3434,0.21878335112059766,-0.2496361,-0.2724848,0.07716437,-0.16624215,5,
1_2_65_0,-27886.5,-8050.5,5857,5084,2104,2662,3470,3752,4207,4375,4502,0.2703552342030808,-0.36300334,-0.37504402,0.1294531,-0.25683975,5,
1_2_66_0,-24764.75,-5988.75,5341,4771,2239,2667,3117,3300,3462,3728,3794,0.2966955911999299,-0.25774905,-0.3339161,0.09795977,-0.1744312,5,
1_2_67_0,-17292.5,-3803.5,4319,3736,2479,2810,3413,3519,3662,3870,3930,0.22221267085016763,-0.22640038,-0.21167064,0.07040719,-0.1661721,5,
1_2_68_0,-23785.75,-5703.25,5267,4803,2461,2884,3376,3643,3877,4030,4182,0.3368720220680432,-0.2590697,-0.29235676,0.10664197,-0.18369657,5,
1_2_69_0,4142.75,3694.0,1392,1204,3439,3511,3848,4100,4114,4175,4089,0.43486106098881266,-0.08634432,0.43218437,0.030364117,-0.07605263,5,
1_2_70_0,6001.25,4521.75,1436,1239,3941,4087,4541,4652,4735,4714,4782,0.24377908152943556,-0.09641179,0.47999275,0.025850048,-0.07836284,5,
1_2_71_0,-17816.75,-4036.25,4325,3833,2283,2745,3298,3530,3669,3792,3824,0.20260380556197521,-0.2523334,-0.2234795,0.07385566,-0.16425635,5,
1_2_72_0,-16420.25,-3450.0,3917,3528,2069,2440,2848,2953,3075,3238,3241,0.20415584415584415,-0.22071563,-0.2323423,0.06454262,-0.1409963,5,
1_2_73_0,-14679.0,-2997.0,3711,3176,2107,2425,2777,2917,3060,3193,3204,0.2626399311108377,-0.20655243,-0.20958279,0.071392745,-0.13839048,5,
1_2_74_0,5273.0,4549.25,1493,1361,3783,4027,4390,4600,4710,4676,4481,0.09287609716268627,-0.08446273,0.45905796,0.010258145,-0.053361543,5,
1_2_75_0,1681.75,2428.75,1490,1277,2949,3018,3402,3574,3581,3693,3674,0.34526529576034526,-0.10946701,0.33895296,0.038439795,-0.0980275,5,
1_2_76_0,-24575.0,-6324.25,5583,4889,2669,3098,3906,4141,4508,4676,4761,0.2612920970600819,-0.28156123,-0.28625736,0.09865005,-0.21160454,5,
1_2_77_0,-34121.5,-9628.75,7172,6313,2610,3324,4475,4812,5062,5190,5475,0.1960630538781272,-0.35435992,-0.36661586,0.10050251,-0.2444596,5,
1_2_78_0,-21149.25,-5333.25,4636,4191,2017,2459,3048,3249,3444,3622,3664,0.22562449637389204,-0.28991374,-0.3068358,0.091775924,-0.19679895,5,
1_2_79_0,-26694.5,-6832.0,5842,5372,2449,3156,4021,4377,4594,4709,4710,0.16452552652944266,-0.31582624,-0.2985108,0.07891421,-0.19755912,5,
